City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.26,69,0,5.75,clear sky
1,Asau,RO,46.4333,26.4,64.4,89,76,5.64,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,74.79,77,79,23.33,broken clouds
3,Fortuna,US,40.5982,-124.1573,59.41,71,90,1.99,overcast clouds
4,Antsohihy,MG,-14.8796,47.9875,78.21,50,40,11.41,scattered clouds
5,Vaini,TO,-21.2,-175.2,75.36,88,75,6.91,light rain
6,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,100,75,16.6,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,32.11,100,0,11.5,clear sky
8,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,100,75,10.36,broken clouds
9,Chuy,UY,-33.6971,-53.4616,51.46,78,100,10.74,overcast clouds
10,Sonoita,MX,31.85,-112.8333,90.07,26,48,1.97,scattered clouds
11,Chapleau,CA,47.8405,-83.4034,46.38,61,31,5.5,scattered clouds
12,Bengkulu,ID,-3.8004,102.2655,84.0,69,45,7.78,scattered clouds
13,Victoria,HK,22.2855,114.1577,91.45,74,87,11.01,overcast clouds
14,Busselton,AU,-33.65,115.3333,60.08,57,0,3.27,clear sky
15,Torbay,CA,47.6666,-52.7314,59.88,96,90,18.41,mist
16,Barrow,US,71.2906,-156.7887,50.02,71,1,13.8,clear sky
17,Jalu,LY,29.0331,21.5482,80.8,31,0,11.27,clear sky
18,Albany,US,42.6001,-73.9662,51.82,82,10,4.74,clear sky
19,Khani,GE,41.9563,42.9566,62.17,96,99,2.26,overcast clouds
20,Dikson,RU,73.5069,80.5464,41.95,66,91,19.98,overcast clouds
21,Castro,BR,-24.7911,-50.0119,50.41,95,92,6.62,overcast clouds
22,Cidreira,BR,-30.1811,-50.2056,51.67,82,99,7.72,overcast clouds
23,Manicore,BR,-5.8092,-61.3003,75.15,100,0,0.0,clear sky
24,Hobart,AU,-42.8794,147.3294,52.92,96,90,1.99,light intensity drizzle
25,Isla Mujeres,MX,21.2311,-86.731,77.16,88,100,15.75,overcast clouds
26,Bluff,NZ,-46.6,168.3333,43.81,74,81,11.01,broken clouds
27,Tilichiki,RU,60.4667,166.1,53.58,65,91,8.01,overcast clouds
28,Airai,TL,-8.9266,125.4092,72.88,53,63,3.65,broken clouds
29,Hurricane,US,37.1753,-113.2899,97.27,17,77,8.55,broken clouds
30,Port Hardy,CA,50.6996,-127.4199,53.78,87,75,4.61,broken clouds
31,Manggar,ID,-2.8833,108.2667,86.22,60,91,8.08,overcast clouds
32,Linxia,CN,35.6003,103.2064,53.69,70,100,1.36,overcast clouds
33,Arraial Do Cabo,BR,-22.9661,-42.0278,68.99,79,48,15.9,scattered clouds
34,Lebu,CL,-37.6167,-73.65,50.94,85,69,4.65,broken clouds
35,Hilo,US,19.7297,-155.09,74.8,90,90,5.75,moderate rain
36,Qaanaaq,GL,77.484,-69.3632,28.96,77,75,5.5,broken clouds
37,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,75,11.5,broken clouds
38,Kapaa,US,22.0752,-159.319,79.12,79,40,3.0,light rain
39,Saint-Philippe,RE,-21.3585,55.7679,75.47,82,58,12.77,light rain
40,Vanavara,RU,60.34,102.2797,77.58,28,15,2.64,few clouds
41,Salym,RU,60.0625,71.4789,78.89,44,34,9.57,scattered clouds
42,Mogadishu,SO,2.0371,45.3438,80.47,65,40,14.97,scattered clouds
43,Vila Velha,BR,-20.3297,-40.2925,65.95,94,75,2.3,broken clouds
44,Manaia,NZ,-39.55,174.1333,51.8,89,15,6.44,few clouds
45,Cape Town,ZA,-33.9258,18.4232,58.12,93,75,8.05,broken clouds
46,Kununurra,AU,-15.7667,128.7333,89.58,18,52,8.05,broken clouds
47,Mataura,NZ,-46.1927,168.8643,43.48,97,60,2.57,broken clouds
48,Port Alfred,ZA,-33.5906,26.891,59.47,76,3,7.96,clear sky
49,Khatanga,RU,71.9667,102.5,66.51,53,82,9.26,broken clouds
50,Katsuura,JP,35.1333,140.3,80.24,68,59,15.08,broken clouds
51,Lagoa,PT,39.05,-27.9833,63.73,79,100,20.83,overcast clouds
52,Haines Junction,CA,60.7522,-137.5108,55.35,44,75,9.22,broken clouds
53,Verkhnyaya Toyma,RU,62.2349,44.9985,58.26,51,75,13.6,broken clouds
54,Butaritari,KI,3.0707,172.7902,84.02,68,35,11.68,scattered clouds
55,Ilulissat,GL,69.2167,-51.1,33.46,98,98,0.85,overcast clouds
56,Kamaishi,JP,39.2667,141.8833,79.75,87,79,7.47,broken clouds
57,Jamestown,US,42.097,-79.2353,54.99,76,1,4.61,clear sky
58,Staryy Nadym,RU,65.6118,72.6842,69.94,40,19,18.54,few clouds
59,Ambilobe,MG,-13.2,49.05,77.49,54,67,4.45,broken clouds
60,Faqirwali,PK,29.4663,73.034,97.72,31,33,5.28,scattered clouds
61,Trinidad,BO,-14.8333,-64.9,70.21,75,100,4.07,overcast clouds
62,Namibe,AO,-15.1961,12.1522,65.46,70,41,7.56,scattered clouds
63,Mumford,GH,5.2618,-0.759,76.17,89,87,8.03,overcast clouds
64,Lukulu,ZM,-14.3707,23.242,53.91,43,8,4.65,clear sky
65,Carnarvon,AU,-24.8667,113.6333,69.87,35,0,17.27,clear sky
66,Kodiak,US,57.79,-152.4072,47.71,87,90,4.61,overcast clouds
67,Sola,VU,-13.8833,167.55,81.41,76,85,13.18,overcast clouds
68,Yakeshi,CN,49.2833,120.7333,47.1,95,100,23.29,light rain
69,Imatra,FI,61.1719,28.7524,62.87,67,71,1.99,broken clouds
70,Byron Bay,AU,-28.65,153.6167,73.87,41,0,9.1,clear sky
71,East London,ZA,-33.0153,27.9116,59.94,67,0,6.91,clear sky
72,Cumaru,BR,-8.0061,-35.6972,65.77,95,0,4.7,clear sky
73,San Patricio,US,28.017,-97.5169,83.84,81,0,4.7,clear sky
74,Birao,CF,10.2849,22.7882,73.49,80,100,8.39,overcast clouds
75,Boa Vista,BR,2.8197,-60.6733,76.98,88,90,3.44,overcast clouds
