City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Antsohihy,MG,78.21,scattered clouds,-14.8796,47.9875,Hotel de Ville
5,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
12,Bengkulu,ID,84.0,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
17,Jalu,LY,80.8,clear sky,29.0331,21.5482,صاحبة الفخامة
23,Manicore,BR,75.15,clear sky,-5.8092,-61.3003,Hotel Durval
25,Isla Mujeres,MX,77.16,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
31,Manggar,ID,86.22,overcast clouds,-2.8833,108.2667,Guest Hotel
38,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Saint-Philippe,RE,75.47,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Salym,RU,78.89,scattered clouds,60.0625,71.4789,Gostinitsa Salym
42,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
46,Kununurra,AU,89.58,broken clouds,-15.7667,128.7333,Hotel Kununurra
50,Katsuura,JP,80.24,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
54,Butaritari,KI,84.02,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
56,Kamaishi,JP,79.75,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
59,Ambilobe,MG,77.49,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
63,Mumford,GH,76.17,overcast clouds,5.2618,-0.759,Spanish Villa
67,Sola,VU,81.41,overcast clouds,-13.8833,167.55,Leumerus Bungalows
73,San Patricio,US,83.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
75,Boa Vista,BR,76.98,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
81,Karatau,KZ,84.96,broken clouds,43.1667,70.4667,Gor.bol'nitsa
91,Yucca Valley,US,89.06,overcast clouds,34.1142,-116.4322,Americas Best Value Inn & Suites Joshua Tree National Park
95,Puri,IN,83.37,heavy intensity rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
98,Cabo San Lucas,MX,87.8,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
104,Atuona,PF,79.54,scattered clouds,-9.8,-139.0333,Villa Enata
107,Hithadhoo,MV,83.79,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
117,Bijie,CN,79.7,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
120,Garissa,KE,79.03,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
127,Takoradi,GH,76.8,light rain,4.8845,-1.7554,Raybow International Hotel
128,Acapulco,MX,78.26,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
131,Tura,IN,86.85,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
132,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
135,Komsomolskiy,UZ,83.62,clear sky,40.4272,71.7189,Ikathouse
138,Matay,EG,76.5,clear sky,28.419,30.7792,Nag Aespen
139,Kavaratti,IN,83.23,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
141,Gat,IL,75.78,broken clouds,31.61,34.7642,OlusHome
145,Kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
148,Puerto Escondido,MX,78.64,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
152,Faanui,PF,80.51,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Emerald,AU,79.34,scattered clouds,-23.5333,148.1667,The Irish Village
157,Korla,CN,83.23,overcast clouds,41.7597,86.1469,Gulisitan Hotel
158,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
159,Xingtai,CN,82.83,overcast clouds,37.0631,114.4942,Xingzhou Hotel
161,Havelock,US,75.15,clear sky,34.8791,-76.9013,Sherwood Motel
165,Mana,GF,76.32,overcast clouds,5.6592,-53.7767,LE SAMANA
166,Abha,SA,75.45,clear sky,18.2164,42.5053,Abha Hotel
174,Isangel,VU,77.04,broken clouds,-19.55,169.2667,Tanna Lodge
177,Saint-Fons,FR,75.52,clear sky,45.7,4.8667,ibis budget Lyon Gerland
180,Kendari,ID,80.47,overcast clouds,-3.945,122.4989,Hotel Wixel
