City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2021-06-14 14:31:42,22.8909,-109.9124,83.52,80,100,2.75
1,Georgetown,MY,2021-06-14 14:30:11,5.4112,100.3354,83.89,85,20,2.3
2,Komsomolskiy,UZ,2021-06-14 14:31:43,40.4272,71.7189,84.92,15,21,11.5
3,Verkhnyaya Inta,RU,2021-06-14 14:31:44,65.9811,60.3094,70.95,58,43,14.23
4,Hilo,US,2021-06-14 14:30:39,19.7297,-155.09,70.79,91,90,0.0
5,Avarua,CK,2021-06-14 14:28:49,-21.2078,-159.775,73.45,68,75,5.75
6,Ca Mau,VN,2021-06-14 14:31:45,9.1769,105.15,79.92,84,12,3.65
7,Kavaratti,IN,2021-06-14 14:31:46,10.5669,72.642,83.17,76,100,23.73
8,Port Elizabeth,ZA,2021-06-14 14:31:47,-33.918,25.5701,66.49,68,0,4.61
9,East London,ZA,2021-06-14 14:31:48,-33.0153,27.9116,63.54,77,0,4.61
10,Jamestown,US,2021-06-14 14:27:25,42.097,-79.2353,70.09,80,90,4.0
11,Yellowknife,CA,2021-06-14 14:30:12,62.456,-114.3525,59.52,67,40,3.44
12,Arraial Do Cabo,BR,2021-06-14 14:31:49,-22.9661,-42.0278,73.26,64,40,8.05
13,Castro,BR,2021-06-14 14:31:50,-24.7911,-50.0119,62.29,47,1,4.47
14,Nago,JP,2021-06-14 14:31:50,26.5881,127.9761,80.67,90,67,9.06
15,Hobart,AU,2021-06-14 14:28:31,-42.8794,147.3294,51.93,92,90,0.0
16,Westport,US,2021-06-14 14:30:40,41.1415,-73.3579,67.32,91,90,3.0
17,Mpanda,TZ,2021-06-14 14:31:53,-6.3655,31.0409,79.0,43,100,1.79
18,Kaspiyskiy,RU,2021-06-14 14:31:53,45.3929,47.3707,80.33,53,90,7.11
19,Jalu,LY,2021-06-14 14:31:54,29.0331,21.5482,89.83,19,0,13.44
20,Mataura,NZ,2021-06-14 14:31:54,-46.1927,168.8643,47.48,98,100,1.74
21,Katherine,AU,2021-06-14 14:31:55,-14.4667,132.2667,66.52,72,93,6.91
22,Vaini,TO,2021-06-14 14:31:56,-21.2,-175.2,73.56,94,75,8.05
23,Busselton,AU,2021-06-14 14:31:56,-33.65,115.3333,47.08,61,100,14.74
24,Port Hardy,CA,2021-06-14 14:31:57,50.6996,-127.4199,53.78,87,75,0.0
25,Yar-Sale,RU,2021-06-14 14:31:58,66.8333,70.8333,68.76,47,81,8.99
26,Svetlogorsk,BY,2021-06-14 14:31:58,52.6333,29.7333,72.84,58,14,4.05
27,Puerto Ayora,EC,2021-06-14 14:31:59,-0.7393,-90.3518,75.16,90,98,5.01
28,Bengkulu,ID,2021-06-14 14:31:59,-3.8004,102.2655,77.65,89,86,6.55
29,Port-Cartier,CA,2021-06-14 14:27:06,50.0334,-66.8654,56.75,62,100,9.66
30,Ketchikan,US,2021-06-14 14:32:00,55.3422,-131.6461,55.87,88,75,3.44
31,Punta Arenas,CL,2021-06-14 14:32:01,-53.15,-70.9167,37.51,70,0,14.97
32,Atuona,PF,2021-06-14 14:32:01,-9.8,-139.0333,79.23,74,10,15.86
33,Bluff,NZ,2021-06-14 14:32:02,-46.6,168.3333,47.8,94,98,6.29
34,Cape Town,ZA,2021-06-14 14:31:18,-33.9258,18.4232,66.61,69,0,2.3
35,Kaitangata,NZ,2021-06-14 14:32:03,-46.2817,169.8464,47.84,96,60,1.43
36,Ahipara,NZ,2021-06-14 14:32:04,-35.1667,173.1667,61.36,95,100,6.6
37,Havelock,US,2021-06-14 14:32:04,34.8791,-76.9013,82.35,80,99,1.99
38,Beloha,MG,2021-06-14 14:32:05,-25.1667,45.05,66.96,74,0,7.25
39,Bud,US,2021-06-14 14:32:06,39.447,-86.1758,82.18,57,10,14.27
40,Oistins,BB,2021-06-14 14:28:59,13.0667,-59.5333,84.29,65,40,23.02
41,Anau,PF,2021-06-14 14:32:07,-16.5167,-151.7333,81.01,71,37,17.29
42,Rikitea,PF,2021-06-14 14:32:07,-23.1203,-134.9692,75.2,69,100,15.12
43,Namatanai,PG,2021-06-14 14:32:08,-3.6667,152.4333,79.21,84,5,6.6
44,Severo-Yeniseyskiy,RU,2021-06-14 14:32:08,60.3725,93.0408,46.54,61,19,1.99
45,Ribeira Grande,PT,2021-06-14 14:32:09,38.5167,-28.7,72.0,83,40,5.75
46,Wladyslawowo,PL,2021-06-14 14:32:09,54.7909,18.4009,74.77,69,6,4.23
47,Banda Aceh,ID,2021-06-14 14:32:10,5.5577,95.3222,81.21,81,76,9.82
